log_id,ip_address,url,status_code,response_time,log_date
1,192.168.1.1,/home,200,120ms,2024-01-01
2,192.168.1.2,/product,404,60ms,2024-01-01
3,192.168.1.3,/checkout,500,200ms,2024-01-02
4,192.168.1.4,/about,200,150ms,2024-01-02
5,192.168.1.5,/contact,301,90ms,2024-01-03
6,192.168.1.6,/services,200,110ms,2024-01-03
7,192.168.1.7,/login,404,50ms,2024-01-04
8,192.168.1.8,/register,200,120ms,2024-01-04
9,192.168.1.9,/home,200,140ms,2024-01-05
10,192.168.1.10,/checkout,500,180ms,2024-01-05
11,192.168.1.11,/product,200,130ms,2024-01-06
12,192.168.1.12,/services,403,70ms,2024-01-06
